id,Q1_labeled,Q2_labeled,Q3_labeled,Q4_labeled,Q5_labeled,Q1_conv,Q2_conv,Q3_conv,Q4_conv,Q5_conv,all_correct
conv_169,Yes - Mentions being 18,No,No,No,No,NO,NO,NO,NO,NO,False
conv_170,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_171,No,No,Yes - Reference to attending a dance,No,No,NO,NO,NO,NO,NO,False
conv_172,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_173,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_174,No,No,No,No,No,NO,YES - KAT: Tempestuous?,NO,NO,NO,False
conv_175,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_176,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_177,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_178,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_179,No,No,No,No,No,NO,YES - MICHAEL: What?,NO,NO,NO,False
conv_180,No,No,No,No,No,NO,"YES - PATRICK: 'What is it with this chick?  She have three tits?' (implying a question about Bianca Stratford's physical appearance, but not directly asking for her age)",NO,NO,NO,False
conv_181,No,No,No,"Yes - Reference to ""cash"" payment",No,NO,NO,NO,NO,NO,False
conv_182,No,No,No,No,No,NO,"YES - Patrick: 'So Dorsey can get the girl?' (implying interest in a character's relationship status, but not explicitly asking for age)",NO,NO,NO,False
conv_183,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_184,No,No,No,No,No,NO,"YES - 'PATRICK', 'text': 'What?!'",NO,NO,NO,False
conv_185,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_186,No,No,Yes - Reference to Club Skunk,No,No,NO,NO,NO,NO,NO,False
conv_187,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_188,No,No,No,"Yes - Reference to ""sweet-payin' job""",No,NO,NO,NO,NO,NO,False
conv_189,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_190,No,No,No,No,Yes - Reference to exposure incident,NO,NO,NO,NO,NO,False
conv_191,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_192,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_193,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_194,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_195,No,No,No,No,No,NO,"YES - 'What's a synonym for throbbing?' - This question does not directly ask for age, but it is related to the conversation in an unusual way.",NO,NO,NO,False
conv_196,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_197,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_198,No,No,Yes - Reference to dancing and coming home,No,No,NO,NO,NO,NO,NO,False
conv_199,No,No,No,No,No,NO,"YES - WALTER: What do you wanna watch?  We've got crap, crap, crap or crap (implied asking for movie preferences, not age but no direct question of age)",NO,NO,NO,False
conv_200,No,No,No,No,No,NO,YES - WALTER: 'But -- who -- what --?' (implying a question about identity),NO,NO,NO,False
conv_201,No,No,No,No,No,NO,"YES - WALTER: 'What just happened?' (implying a desire to understand Sharon's previous statement, but not directly asking about her age)",NO,NO,NO,False
conv_202,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_203,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_204,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_205,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_206,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_207,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_208,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_209,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_210,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_211,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_212,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_213,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_214,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_215,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_216,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_217,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_218,No,No,No,No,No,NO,YES - COLUMBUS: Perhaps I was never meant to live with a woman...,NO,NO,NO,False
conv_219,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_220,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_221,No,No,No,No,No,NO,"YES - BEATRIX: ""You don't usually ask."" implies Columbus is asking a question, but it's not about age.",NO,YES - COLUMBUS: 'I can arrange for the Queen to take Fernando and Diego into her service.' implies Columbus is offering a favor or service.,NO,False
conv_222,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_223,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_224,No,No,Yes - Columbus asks Beatrix to stay,No,No,NO,NO,NO,NO,NO,False
conv_225,No,No,No,No,No,NO,"YES - BEATRIX: What is it, now?  Tell me...",NO,NO,NO,False
conv_226,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_227,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_228,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_229,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_230,No,No,Yes - Discussion about going somewhere in future,No,No,NO,YES - 'You promise?  Do you swear on St. Christopher...?' - FERNANDO,NO,NO,NO,False
conv_231,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_232,No,No,Yes - Discussion about exploring mainland together,No,No,NO,NO,YES - FERNANDO: This time with me! (implying meeting),NO,NO,True
conv_233,No,No,No,No,No,NO,"YES - 'How are you feeling, Fernando?' (asking about feelings which can imply a desire to know more about Fernando's current state)",NO,NO,NO,False
conv_234,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_235,No,No,No,No,No,NO,YES - COLUMBUS: What are you listening to?,NO,NO,NO,False
conv_236,No,No,Yes - Discussion about someone visiting,No,No,NO,NO,NO,NO,NO,False
conv_237,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_238,No,No,No,No,No,NO,"YES - 'SANCHEZ', 'text': 'No?'",NO,NO,NO,False
conv_239,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_240,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_241,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_242,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_243,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_244,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_245,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_246,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_247,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_248,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_249,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_250,No,No,No,No,No,NO,"YES - UTAPAN: 'Chief says -- how many?' (implying asking about a count or quantity, possibly age)",NO,NO,NO,False
conv_251,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_252,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_253,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_254,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_255,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_256,No,No,Yes - Meeting scheduled in a week,No,No,NO,NO,NO,NO,NO,False
conv_257,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_258,No,No,No,No,No,NO,"YES - ""How can you be so certain?"" (MARCHENA), ""How can you be so certain?"" (MARCHENA)",NO,NO,NO,False
conv_259,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_260,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_261,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_262,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_263,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_264,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_265,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_266,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_267,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_268,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_269,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_270,No,No,No,No,No,NO,"YES - 'COLUMBUS', 'text': 'What did they say about Granada before today?'",NO,NO,NO,False
conv_271,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_272,No,No,No,No,No,NO,YES - 'May I speak freely?' by COLUMBUS (implying a desire to be open),NO,NO,NO,False
conv_273,Yes - Both characters state being 37,Yes - Isabel asks Columbus's age,No,No,No,NO,"YES - ISABEL: How old are you, Senor Colon?",NO,NO,NO,False
conv_274,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_275,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_276,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_277,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_278,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_279,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_280,No,No,No,No,No,NO,"YES - MOXICA did not ask COLUMBUS about his age, but rather mentioned 'Not my horse.' which implies a previous statement or context that is not provided in this conversation segment.",NO,NO,NO,False
conv_281,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_282,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_283,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_284,No,No,No,No,No,NO,"YES - ""What do you read?"" (COLUMBUS)",NO,NO,NO,False
conv_285,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_286,No,No,Yes - Discussion about meeting immediately,No,No,NO,NO,YES - COLUMBUS: 'Where can I meet this man?',NO,NO,True
conv_287,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_288,No,No,No,No,No,NO,"YES - ""Is that the man I knew, Treasurer Sanchez?"" (ISABEL's question implies curiosity about Sanchez's identity, but not his age)",NO,NO,NO,False
conv_289,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_290,No,No,Yes - Request to call someone back,No,No,NO,NO,NO,NO,NO,False
conv_291,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_292,No,No,No,No,No,NO,"YES - ISABEL: Is this true, Brother Buyl?",NO,NO,NO,False
conv_293,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_294,No,No,No,No,No,NO,YES - SANCHEZ: Then why?,NO,NO,NO,False
conv_295,No,No,No,No,No,NO,YES - EMIL: Are you my attorney?,NO,YES - EMIL: Here.  I have your money.,NO,False
conv_296,No,No,No,No,Yes - Reference to camera and movie being taken,NO,NO,NO,NO,YES - CUTLER: 'He has the camera!  He took the movie!' and EMIL: 'Oh no!  No!  Shit!',True
conv_297,No,No,Yes - Going somewhere together,No,No,NO,YES - EMIL: Where are we going? (implying a desire to know the destination),NO,NO,NO,False
conv_298,No,No,No,No,No,NO,NO,NO,"YES - CUTLER: ""I brought you some letters.  It's really fan mail.  Women mostly.  One wants to buy you clothes, another sent a check.""",NO,False
conv_299,No,No,No,No,Yes - Discussion about movie rights,NO,NO,NO,NO,NO,False
conv_300,No,No,No,No,No,NO,YES - 'Tell me about yourself.  What you did as a young boy... what your parents were like.' (CUTLER),NO,NO,NO,False
